n,affermazione,dichiarato,ricalcolato,metodo,esito,nota
5,"Immagine A4: 26128×28248 righe×colonne, RGB uint8 non compressa, 96 dpi",26128×28248; RGB uint8; compression none; 96 dpi,"26128×28248×3 uint8; compression=1 (none); photometric=RGB; spp=3; XRes/YRes=(96, 1), unit=2 (inch); gdalinfo: ""Size is 28248, 26128"", 3 bande Byte, nessun tag COMPRESSION",tifffile.TiffFile (page 0 / series 0) + gdalinfo,confermata,"bytes file / bytes raw = 1.0019 (coerente con non compresso); bigtiff=False, tiled=False, pagine=1"
5,"Immagine A5: 22074×22354 righe×colonne, RGB uint8 non compressa, 96 dpi",22074×22354; RGB uint8; compression none; 96 dpi,"22074×22354×3 uint8; compression=1 (none); photometric=RGB; spp=3; XRes/YRes=(96, 1), unit=2 (inch); gdalinfo: ""Size is 22354, 22074"", 3 bande Byte, nessun tag COMPRESSION",tifffile.TiffFile (page 0 / series 0) + gdalinfo,confermata,"bytes file / bytes raw = 1.0286 (coerente con non compresso); bigtiff=True, tiled=True, pagine=1"
5,"Immagine A6: 49099×39139 righe×colonne, RGB uint8 non compressa, 96 dpi",49099×39139; RGB uint8; compression none; 96 dpi,"49099×39139×3 uint8; compression=1 (none); photometric=RGB; spp=3; XRes/YRes=(96, 1), unit=2 (inch); gdalinfo: ""Size is 39139, 49099"", 3 bande Byte, nessun tag COMPRESSION",tifffile.TiffFile (page 0 / series 0) + gdalinfo,confermata,"bytes file / bytes raw = 1.0084 (coerente con non compresso); bigtiff=True, tiled=True, pagine=1"
6,Bin 2 µm in_tissue==1 A1; totale bin 11 222 500,5479660; 11222500,"5479660; 11222500 (=3350²; in_tissue ∈ {0,1}; 0 posizioni array duplicate)","pyarrow read tissue_positions.parquet, (in_tissue==1).sum(), len",confermata,
6,Bin 2 µm in_tissue==1 A2; totale bin 11 222 500,8176117; 11222500,"8176117; 11222500 (=3350²; in_tissue ∈ {0,1}; 0 posizioni array duplicate)","pyarrow read tissue_positions.parquet, (in_tissue==1).sum(), len",confermata,
6,Bin 2 µm in_tissue==1 A4; totale bin 11 222 500,5482441; 11222500,"5482441; 11222500 (=3350²; in_tissue ∈ {0,1}; 0 posizioni array duplicate)","pyarrow read tissue_positions.parquet, (in_tissue==1).sum(), len",confermata,
6,Bin 2 µm in_tissue==1 A5; totale bin 11 222 500,6343031; 11222500,"6343031; 11222500 (=3350²; in_tissue ∈ {0,1}; 0 posizioni array duplicate)","pyarrow read tissue_positions.parquet, (in_tissue==1).sum(), len",confermata,
6,Bin 2 µm in_tissue==1 A6; totale bin 11 222 500,10615406; 11222500,"10615406; 11222500 (=3350²; in_tissue ∈ {0,1}; 0 posizioni array duplicate)","pyarrow read tissue_positions.parquet, (in_tissue==1).sum(), len",confermata,
7a,datasets_10x_pages csv: 46 righe,46,46 righe dati (wc -l = 47 con header),pandas + wc -l,confermata,14 dataset_id compaiono 2 volte (versioni SR diverse): 46 pagine ≠ 46 dataset distinti
7b,"files_10x_pages csv: 582 righe, md5 tutti di 32 caratteri",582; 32 char,582 righe dati (wc -l 583); 582/582 md5 fullmatch [0-9a-f]{32},pandas regex fullmatch,confermata,56 md5 duplicati (stessi file input condivisi fra versioni SR / probe set comuni): 582 righe ≈ 526 file distinti
7c,"44/46 righe con ""Olympus VS200""; mancanti = Colon_Cancer SR 3.0.0 e 4.0.1",44; Colon_Cancer 3.0.0 e 4.0.1,44; mancanti: Visium_HD_Human_Colon_Cancer 4.0.1 e 3.0.0,str.contains su microscope_notes,confermata,
8a,"R1_checks.csv: 35 righe, 30 PASS, 5 PENDING, 0 FAIL",35/30/5/0,"35 righe; PASS 30, PENDING 5 (tutte CP-2), FAIL 0",pandas value_counts (server e locale),confermata,README dichiara la verifica istologica CP-2 già eseguita il 2026-09-19: il CSV resta PENDING → documenti non allineati
8b,"R1_download_status.tsv: 38 righe OK, attempts=1",38 OK; attempts 1,"38 righe, status OK 38/38, attempts {1: 38}, expected_md5==observed_md5 38/38",pandas,confermata,
9,"tools/R1_verify.py CP-1: LS affini array→pixel, valori singolari, × microns_per_pixel",come descritto,"Codice letto: grid_pitch_px fa lstsq di [pxl_col,pxl_row] su [array_col,array_row,1], A=2×2, SVD → sv1,sv2, pitch_px = sqrt(|det A|) (media geometrica), pitch_um = pitch_px × microns_per_pixel; soglia |pitch−2| ≤ 0.10 µm (±5%)","lettura del sorgente (cat, sola lettura)",confermata,"Scelte discutibili: (i) sottocampionamento a 300 000 bin su 11.2 M (random_state=42) non necessario né documentato nel report; (ii) pitch riportato = media geometrica, non i due assi separati (A2 differisce dello 0.011% fra assi); (iii) tolleranza ±5% molto lassa rispetto alla precisione 0.05% ottenuta; (iv) docstring dice che lo script scrive README.md e checksums.md5 ma il codice non lo fa; (v) fallback versione Space Ranger = ""stringa più frequente"" nel web_summary (euristica fragile); (vi) n_in_tissue = in_tissue.sum() assume codifica 0/1 (verificata vera)"
10,README data/real: µm/px e passo griglia per archetipo coincidono con results/R1/R1_scale.csv,tabella README,"µm/px README = CSV arrotondato a 5 decimali (5/5); passo griglia README = pitch_um_from_grid arrotondato a 4 decimali (5/5); 38 file/79.84 GB, 46 pagine/582 file, GB per dataset, CytAssist 3000×3200 coincidono","confronto manuale README vs R1_scale.csv, R1_image_metadata.csv, R1_md5.csv",confermata,"Due imprecisioni: ""anisotropia ≤ 1.0001"" ma A2 = 1.000115 (vero solo dopo arrotondamento); ""i metadati dell'immagine non sono usabili per la scala"" è troppo forte: l'OME-XML di tutte le 5 immagini contiene PhysicalSizeX/Y in µm (0.27377–0.27381), coerenti con scalefactors entro 0.08% (il CSV dell'autore li riporta in ome_physical_size_x ma il README non ne tiene conto)"
